Country,Population,Area,Density
Saint Kitts and Nevis,52441,261,201
Faroe Islands,48497,1393,35
Sint Maarten,42876,34,1261
Monaco,38682,2,19341
Liechtenstein,37910,160,237
Turks and Caicos Islands,37665,948,40
Saint Martin (France),35334,54,654
San Marino,33785,61,554
Gibraltar,33718,6,5620
British Virgin Islands,29802,151,197
Åland Islands,29789,1580,19
Bonaire (Netherlands),18905,294,64
Palau,17907,459,39
Cook Islands,17518,236,74
Anguilla,14731,91,162
Wallis and Futuna,11661,142,82
Tuvalu,11508,26,443
Nauru,10670,21,508
Saint Barthélemy,9961,25,398
Saint Pierre and Miquelon,5849,242,24
"Saint Helena, Ascension and Tristan da Cunha",5633,394,14
Montserrat,4993,103,48
Falkland Islands,3234,12173,0
Sint Eustatius (Netherlands),3193,21,152
Svalbard and Jan Mayen (Norway),2655,62422,0
Christmas Island,2072,135,15
Saba (Netherlands),1947,13,150
Norfolk Island,1748,36,49
Niue,1620,260,6
Tokelau,1319,12,110
Cocos (Keeling) Islands,544,14,39
Vatican City,453,0.49,924.49
Pitcairn Islands,56,5,11
